instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name
1.0,2011-01-01,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.363625,0.805833,0.160446,331.0,654.0,985.0,Spring
2.0,2011-01-02,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.363478,0.353739,0.696087,0.248539,131.0,670.0,801.0,Spring
3.0,2011-01-03,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.196364,0.189405,0.437273,0.248309,120.0,1229.0,1349.0,Spring
4.0,2011-01-04,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.2,0.212122,0.590435,0.160296,108.0,1454.0,1562.0,Spring
5.0,2011-01-05,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.226957,0.22927,0.436957,0.1869,82.0,1518.0,1600.0,Spring
6.0,2011-01-06,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.204348,0.233209,0.518261,0.0895652,88.0,1518.0,1606.0,Spring
7.0,2011-01-07,1.0,0.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.208839,0.498696,0.168726,148.0,1362.0,1510.0,Spring
8.0,2011-01-08,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.165,0.162254,0.535833,0.266804,68.0,891.0,959.0,Spring
9.0,2011-01-09,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.138333,0.116175,0.434167,0.36195,54.0,768.0,822.0,Spring
10.0,2011-01-10,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.150833,0.150888,0.482917,0.223267,41.0,1280.0,1321.0,Spring
11.0,2011-01-11,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.169091,0.191464,0.686364,0.122132,43.0,1220.0,1263.0,Spring
12.0,2011-01-12,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.172727,0.160473,0.599545,0.304627,25.0,1137.0,1162.0,Spring
13.0,2011-01-13,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.165,0.150883,0.470417,0.301,38.0,1368.0,1406.0,Spring
14.0,2011-01-14,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.16087,0.188413,0.537826,0.126548,54.0,1367.0,1421.0,Spring
15.0,2011-01-15,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.233333,0.248112,0.49875,0.157963,222.0,1026.0,1248.0,Spring
16.0,2011-01-16,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.231667,0.234217,0.48375,0.188433,251.0,953.0,1204.0,Spring
17.0,2011-01-17,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.175833,0.176771,0.5375,0.194017,117.0,883.0,1000.0,Spring
18.0,2011-01-18,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.216667,0.232333,0.861667,0.146775,9.0,674.0,683.0,Spring
19.0,2011-01-19,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.292174,0.298422,0.741739,0.208317,78.0,1572.0,1650.0,Spring
20.0,2011-01-20,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.261667,0.25505,0.538333,0.195904,83.0,1844.0,1927.0,Spring
21.0,2011-01-21,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.1775,0.157833,0.457083,0.353242,75.0,1468.0,1543.0,Spring
22.0,2011-01-22,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0591304,0.0790696,0.4,0.17197,93.0,888.0,981.0,Spring
23.0,2011-01-23,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0965217,0.0988391,0.436522,0.2466,150.0,836.0,986.0,Spring
24.0,2011-01-24,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0973913,0.11793,0.491739,0.15833,86.0,1330.0,1416.0,Spring
25.0,2011-01-25,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.223478,0.234526,0.616957,0.129796,186.0,1799.0,1985.0,Spring
26.0,2011-01-26,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.2175,0.2036,0.8625,0.29385,34.0,472.0,506.0,Spring
27.0,2011-01-27,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.195,0.2197,0.6875,0.113837,15.0,416.0,431.0,Spring
28.0,2011-01-28,1.0,0.0,1.0,0.0,5.0,1.0,2.0,0.203478,0.223317,0.793043,0.1233,38.0,1129.0,1167.0,Spring
29.0,2011-01-29,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.196522,0.212126,0.651739,0.145365,123.0,975.0,1098.0,Spring
30.0,2011-01-30,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.216522,0.250322,0.722174,0.0739826,140.0,956.0,1096.0,Spring
31.0,2011-01-31,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.180833,0.18625,0.60375,0.187192,42.0,1459.0,1501.0,Spring
32.0,2011-02-01,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.192174,0.23453,0.829565,0.053213,47.0,1313.0,1360.0,Spring
33.0,2011-02-02,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.26,0.254417,0.775417,0.264308,72.0,1454.0,1526.0,Spring
34.0,2011-02-03,1.0,0.0,2.0,0.0,4.0,1.0,1.0,0.186957,0.177878,0.437826,0.277752,61.0,1489.0,1550.0,Spring
35.0,2011-02-04,1.0,0.0,2.0,0.0,5.0,1.0,2.0,0.211304,0.228587,0.585217,0.127839,88.0,1620.0,1708.0,Spring
36.0,2011-02-05,1.0,0.0,2.0,0.0,6.0,0.0,2.0,0.233333,0.243058,0.929167,0.161079,100.0,905.0,1005.0,Spring
37.0,2011-02-06,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.285833,0.291671,0.568333,0.1418,354.0,1269.0,1623.0,Spring
38.0,2011-02-07,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.271667,0.303658,0.738333,0.0454083,120.0,1592.0,1712.0,Spring
39.0,2011-02-08,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.220833,0.198246,0.537917,0.36195,64.0,1466.0,1530.0,Spring
40.0,2011-02-09,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.134783,0.144283,0.494783,0.188839,53.0,1552.0,1605.0,Spring
41.0,2011-02-10,1.0,0.0,2.0,0.0,4.0,1.0,1.0,0.144348,0.149548,0.437391,0.221935,47.0,1491.0,1538.0,Spring
42.0,2011-02-11,1.0,0.0,2.0,0.0,5.0,1.0,1.0,0.189091,0.213509,0.506364,0.10855,149.0,1597.0,1746.0,Spring
43.0,2011-02-12,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.2225,0.232954,0.544167,0.203367,288.0,1184.0,1472.0,Spring
44.0,2011-02-13,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.316522,0.324113,0.457391,0.260883,397.0,1192.0,1589.0,Spring
45.0,2011-02-14,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.415,0.39835,0.375833,0.38061125,208.0,1705.0,1913.0,Spring
46.0,2011-02-15,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.266087,0.254274,0.314348,0.291374,140.0,1675.0,1815.0,Spring
47.0,2011-02-16,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.318261,0.3162,0.423478,0.251791,218.0,1897.0,2115.0,Spring
48.0,2011-02-17,1.0,0.0,2.0,0.0,4.0,1.0,1.0,0.435833,0.428658,0.505,0.230104,259.0,2216.0,2475.0,Spring
49.0,2011-02-18,1.0,0.0,2.0,0.0,5.0,1.0,1.0,0.521667,0.511983,0.516667,0.264925,579.0,2348.0,2927.0,Spring
50.0,2011-02-19,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.399167,0.391404,0.20468725,0.38061125,532.0,1103.0,1635.0,Spring
51.0,2011-02-20,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.285217,0.27733,0.407826,0.223235,639.0,1173.0,1812.0,Spring
52.0,2011-02-21,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.303333,0.284075,0.605,0.307846,195.0,912.0,1107.0,Spring
53.0,2011-02-22,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.182222,0.186033,0.577778,0.195683,74.0,1376.0,1450.0,Spring
54.0,2011-02-23,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.221739,0.245717,0.423043,0.094113,139.0,1778.0,1917.0,Spring
55.0,2011-02-24,1.0,0.0,2.0,0.0,4.0,1.0,2.0,0.295652,0.289191,0.697391,0.250496,100.0,1707.0,1807.0,Spring
56.0,2011-02-25,1.0,0.0,2.0,0.0,5.0,1.0,2.0,0.364348,0.350461,0.712174,0.346539,120.0,1341.0,1461.0,Spring
57.0,2011-02-26,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.2825,0.282192,0.537917,0.186571,424.0,1545.0,1969.0,Spring
